empty,source,author_year,col_no_need1,np,erm_id,material_type,col_no_need2,material_type_name,mie_described_in_paper,col_no_need3,ke_id,col_no_need4,related_ke_id,primary_size_descriptor,primary_size,col_no_need6,primary_size_qualifier,primary_size_unit,primary_size_method,primary_size_instrument,col_no_need7,col_no_need8,bundle_diameter,col_no_need9,bundle_diameter_qualifier,bundle_diameter_unit,bundle_diameter_method,diameter,col_no_need10,diameter_qualifier,diameter_unit,diameter_method,diameter_instrument,hydrodynamic_diameter,col_no_need11,hydrodynamic_diameter_qualifier,hydrodynamic_diameter_unit,hydrodynamic_diameter_medium,hydrodynamic_diameter_method,hydrodynamic_diameter_instrument,col_no_need12,col_no_need13,col_no_need14,col_no_need15,col_no_need16,shape,shape_method,zeta_potential,col_no_need17,zeta_potential_qualifier,zeta_potential_unit,zeta_potential_medium,zeta_potential_instrument,col_no_need18,col_no_need19,col_no_need20,col_no_need21,col_no_need22,col_no_need23,col_no_need24,col_no_need25,col_no_need26,col_no_need27,col_no_need28,col_no_need29,col_no_need30,col_no_need31,col_no_need32,col_no_need33,col_no_need34,col_no_need35,col_no_need36,col_no_need37,col_no_need38,col_no_need39,col_no_need40,col_no_need41,col_no_need42,col_no_need43,col_no_need44,col_no_need45,col_no_need46,ref_title,ref_year,ref_journal,ref_doi,ref_author1_last_name,ref_author1_first_name,ref_author2_last_name,ref_author2_first_name,ref_author3_last_name,ref_author3_first_name,ref_author_other,row_id
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1577,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,661,,31.14,nm,PBS,DLS,,,,,,,tube,TEM,-25.1,,0.94,mV,PBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,11
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1496,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,661,,31.14,nm,PBS,DLS,,,,,,,tube,TEM,-25.1,,0.94,mV,PBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,12
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1492,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,177,,9.08,nm,medium + 10% FBS,DLS,,,,,,,tube,TEM,-6.2,,0.5,mV,medium + 10% FBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,13
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,134,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,177,,9.08,nm,medium + 10% FBS,DLS,,,,,,,tube,TEM,-6.2,,0.5,mV,medium + 10% FBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,14
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1579,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,177,,9.08,nm,medium + 10% FBS,DLS,,,,,,,tube,TEM,-6.2,,0.5,mV,medium + 10% FBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,15
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1577,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,177,,9.08,nm,medium + 10% FBS,DLS,,,,,,,tube,TEM,-6.2,,0.5,mV,medium + 10% FBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,16
,4,Ma_2016,Yes,MWCNTS-COOH,https://nanocommons.github.io/identifiers/registry#ERM00000100,http://purl.bioontology.org/ontology/npo#NPO_354,Maybe,multi-walled carbon nanotubes,Induction of IL1β and TNFα,,NA,,1496,length,250-450,,,nm,TEM,,,,,,,,,22.85,,2.35,nm,,,177,,9.08,nm,medium + 10% FBS,DLS,,,,,,,tube,TEM,-6.2,,0.5,mV,medium + 10% FBS,Malvern Zetasizer Nano ZS,,,,,,carboxyl,,,,,,,,,heavy metals,<0.8,ppb,ICP-MS,Agilent 7500 ICP-MS,31.55,ppb,GC-MS,,0.095,EU/ml,LAL,,,,Carbon nanotubes stimulate synovial inflammation by inducing systemic pro-inflammatory cytokines.,2016,Nanoscale,10.1039/C6NR06041B,Ma,J.,Li,R.,Qu,G.,et al.,17
,8,Labib_2015,Yes,MWCNTS (NM-401),https://nanocommons.github.io/identifiers/registry#ERM00000109,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1437,length,0.85,SD,0.46,μm,TEM,,,,,,,,,11,SD,4,μm,TEM,,,,,,,,,246,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"Al2O3,Fe2O3,CoO,CaO,Cl",15.6,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,18
,8,Labib_2015,Yes,MWCNTS (NM-401),https://nanocommons.github.io/identifiers/registry#ERM00000109,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1459,length,0.85,SD,0.46,μm,TEM,,,,,,,,,11,SD,4,μm,TEM,,,,,,,,,246,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"Al2O3,Fe2O3,CoO,CaO,Cl",15.6,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,19
,8,Labib_2015,Yes,MWCNTS (NRCWE-026),https://nanocommons.github.io/identifiers/registry#ERM00000312,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1437,length,4.05,SD,2.37,μm,TEM,,,,,,,,,67,SD,35,μm,TEM,,,,,,,,,18,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"P2O5,SO3,Fe2O3,CaO,MgO",0.3,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,20
,8,Labib_2015,Yes,MWCNTS (NRCWE-026),https://nanocommons.github.io/identifiers/registry#ERM00000312,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1459,length,4.05,SD,2.37,μm,TEM,,,,,,,,,67,SD,35,μm,TEM,,,,,,,,,18,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"P2O5,SO3,Fe2O3,CaO,MgO",0.3,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,21
,8,Labib_2015,Yes,MWCNTS (Mitsui-7),https://nanocommons.github.io/identifiers/registry#ERM00000313,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1437,length,5.73,SD,3.67,μm,TEM,,,,,,,,,74,SD,28,μm,TEM,,,,,,,,,22,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"P2O5,SO3,Fe2O3,CaO,MgO",0.4,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,22
,8,Labib_2015,Yes,MWCNTS (Mitsui-7),https://nanocommons.github.io/identifiers/registry#ERM00000313,http://purl.bioontology.org/ontology/npo#NPO_354,Yes,multi-walled carbon nanotubes,Cellular sensing of the substance-induced damage resulting in the release of danger signals,,1437,,1459,length,5.73,SD,3.67,μm,TEM,,,,,,,,,74,SD,28,μm,TEM,,,,,,,,,22,,,m2/g,BET,tube,TEM,,,,,,,,,,,,mice serum,,,,,,,,,"P2O5,SO3,Fe2O3,CaO,MgO",0.4,%wt,X-ray,,,,,,,,,,,,Nano-risk Science: Application of toxicogenomics in an adverse outcome pathway framework for risk assessment of multi-walled carbon nanotubes,2016,Part Fibre Toxicol,10.1186/s12989-016-0125-9,Labib,S.,Williams,A.,Yauk,C.L.,et al.,23
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,898,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1218,SD,507,nm,water,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,24
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,831,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1218,SD,507,nm,water,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,25
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,1540,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1218,SD,507,nm,water,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,26
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,898,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1156.8,SD,20.5,nm,BEGM,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,27
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,831,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1156.8,SD,20.5,nm,BEGM,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,28
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,1540,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,1156.8,SD,20.5,nm,BEGM,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,29
,9,Wang_2015,Yes,SWCNT(AP-Hipco),https://nanocommons.github.io/identifiers/registry#ERM00000110,http://purl.bioontology.org/ontology/npo#NPO_943,Yes,single-walled carbon nanotube,Lysosomal injury,,NA,,898,length,1000-5000,,,μm,TEM/AFM,JEOL 100CX,,,10.7,SD,3.6,nm,TEM,0.70-1.13,,,nm,UV-Vis,,920.2,SD,45.2,nm,RPMI,DLS,"HT-DLS, Dynapro Plate Reader, Wyatt Technology",,,,,,tube,TEM,-22.3,SD,0.7,mV,water,ZetaSizer Nano-ZS,,,,,,bovine serum albumin,,,,,,,,,Fe,31.35,%,ICP-MS,,,,,,,,,,,,Use of a pro-fibrogenic mechanism-based predictive toxicological approach for tiered testing and decision analysis of carbonaceous nanomaterials,2015,ACS Nano,10.1021/nn507243w,Wang,X.,Duch,M. C.,Mansukhani,N.,et al.,30
